,336　Ⅶ　農作物の部,,,,,,,,,,,,,,,,,Ⅶ　Crops　337
,１　稲,,,,,,,,,,,1 　Rice,,,,,,
, (1)  水陸稲の作付面積及び収穫量,,,,,,,,,,, (1)  Planted Area and Production of Paddy Field Rice and Upland Rice,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,水陸稲計,,,,水稲,,,,,陸稲,,,,
,,,,,Total of paddy field rice and upland rice,,,,Paddy field rice,,,,,Upland rice,,,,
,,"年産
・
都道府県",,,,,,,,,,,,,,,"Production year and
prefecture ",
,,,,,作付面積,収穫量,作付面積,10ａ当たり収量,収穫量,,,10ａ当たり平年収量,2) 作況指数,作付面積,10ａ当たり収量,収穫量,,
,,,,,,,,,,,,,,,,,,
,,,,,Planted area,Production,Planted area,Yield per 10 a,Production,,,Normal yield per 10 a,Yield index,Planted area,Yield per 10 a,Production,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,(1),(2),(3),(4),(5),,,(6),(7),(8),(9),(10),,
,,,,,ha,ｔ,ha,kg,ｔ,,,kg,,ha,kg,ｔ,,
,,,,,,,,,,,,,,,,,,
,, 平成27年産,(1),,"1,506,000","7,989,000","1,505,000",      531,"7,986,000",,,      531,      100,"    1,160",      233,"    2,700",(1),  2015
,,     28,(2),,"1,479,000","8,044,000","1,478,000",      544,"8,042,000",,,      531,      103,      944,      218,"    2,060",(2),  2016
,,     29,(3),,"1,466,000","7,824,000","1,465,000",      534,"7,822,000",,,      532,      100,      813,      236,"    1,920",(3),  2017
,,     30,(4),,"1) 1,470,000","1) 7,782,000","1,470,000",529,"7,780,000",,,532,98,3) 750,3) 232,"3) 1,740",(4),  2018
,, 令和元,(5),,"1) 1,470,000","1) 7,764,000","1,469,000",      528,"7,762,000",,,      533,       99,3) 702,3) 228,"3) 1,600",(5),  2019
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,北海道,(6),,…,…,"  103,000",      571,"  588,100",,,      548,      104,…,…,…,(6),Hokkaido
,,青森,(7),,…,…,"   45,000",      627,"  282,200",,,      592,      106,…,…,…,(7),Aomori
,,岩手,(8),,…,…,"   50,500",      554,"  279,800",,,      537,      103,…,…,…,(8),Iwate
,,宮城,(9),,…,…,"   68,400",      551,"  376,900",,,      536,      102,…,…,…,(9),Miyagi
